Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,9224.366,Afghanistan,1528.182,,Afghanistan,500,26,0.11,,,Country,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Aruba,AMR,104341,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bhutan,Grenada,,,,,,d4T + 3TC + NVP,0,0.843,0.03,0.843,3,0,0.0225902925,,,,,,,,,,,Austria,2459.371,Azerbaijan,54.72095,,Bahrain,,,,,,Belarus,87,,,2015,,Azerbaijan,28 [20-39],3 033,0.28,3033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,WPR,23789338,,A,4843.3814,4679.178,164.2034,97.14,97.14,97.14,24169,26854.44444,0.9,24150,26754.44444,0.9026537647,19,100,0.9,2260.800215,,2040.719825,,28.29496571,0.4196127554,10.59212153,0.009244046329,0.04771365792,21.62148955,7.61552487,2.326812355,11.58183295,25.56709452,0.3883414316,108.4647534,,Bosnia and Herzegovina,Guatemala,,,,,,d4T + 3TC + LPV/r,0,0.7512465753,0.02,0.5,3,0,0.0089325,,,,"Treatment Coverage By Region, Age Group & Sex (2010 data)",,,,"% Necessary for missing data (Columns K, N, Q)",,,Azerbaijan,4968.917,Bahrain,26.57196,,Bangladesh,500,90,0.31,,,Bhutan,100,,,2015,,Bahamas,37 [34-41],2 992,0.37,2992,27.204404304232995,0.4196127554060121,2.6240051054104367,0.009244046328681128,0.047713657916448035,2.5987174851198005,0.25201530866299443,20.477862322886605,3.9994840808954146,24.639328863759026,0.38834143165108825,82.66072936226949
Austria,EUR,8633169,Europe and Central Asia,A,2459.371,2459.371,0,97.14,97.14,97.14,,,0,,,0,,,,11490.5061,15.41409355,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Botswana,Guyana,,,,Adults 1st line,0.7767996301,AZT + 3TC + LPV/r,0,0.5,0.02,0.5,3,0,0.0089325,,,,Region,Overall,Children,Women,Overall,Children,,Bahrain,983.6522,Bangladesh,1215.904,,Barbados,,8,,,,Bolivia (Plurinational State of),77,75,77,2015,,Bahrain,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,EUR,9649341,Europe and Central Asia,A,5023.63795,4968.917,54.72095,91,91,90,3033,10832.14286,0.28,2960,10732.14286,0.2758069884,73,100,0.83,9900,650.3021881,2730.489185,539.7508161,25.9344138,0.4094426646,9.971884205,0.00893784553,0.04608649812,19.37491097,7.00204341,2.328492877,10.84517862,23.23726794,0.3955959245,99.55425475,,Bulgaria,Haiti,,,,Adults 2nd line,0.7195033333,TDF + 3TC + NVP,0,0.75,0.01,0.655,3,0,0.0058507875,,,,Global,0.47,0.23,0.48,0.363716335887583,0.223496578223735,,Bangladesh,13423.63,Barbados,60.36648,,Belarus,500,218,0.94,,,Bosnia and Herzegovina,100,,100,2015,,Bangladesh,15 [13-18],1 483,0.15,1483,22.69484492817076,0.4094426645812236,2.5855196821099997,0.008937845529750119,0.046086498121620426,2.553572079802848,0.2566766088546215,16.160301234304857,3.849773474779147,20.189125699000755,0.3955959245370408,69.14987663979262
Bahamas,AMR,386838,,B,0,0,0,91,91,97.14,2992,8086.486486,0.37,2943,7986.486486,0.3684974619,49,100,0.89,6800,57.5375507,2505.782741,51.20842012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Burkina Faso,Honduras,,,,Children 1st line,0.6887606667,,,,,,,,,,,,Sub-Saharan Africa,0.49,0.21,0.5,0.35835259234724,0,,Barbados,1087.004,Belarus,55.89697,,Belgium,,,,,,Brazil,77,,77,2015,,Barbados,43 [40-47],1 139,0.43,1139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,EMR,1371855,,A,1010.22416,983.6522,26.57196,48,48,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,38.03194226,0.1517444737,14.14480469,0.0,0.0,29.42419646,10.71046321,3.190680735,15.53064132,35.52990605,0.5968869544,147.3112661,,Burundi,Jamaica,,,,Children 2nd line,0.7100466667,second line Regimens,Adult proportion,Adult efficacy,Children proportion,Children efficacy,number of drugs,adult x,child x,,,,Eastern & Southern Africa,0.56,0.26,0.64,0.363716335887583,0.223496578223735,,Belarus,25524.06,Belgium,138.2092,,Belize,200,90,0.8,,,Bulgaria,78,71,78,2015,,Belarus,20 [16-24],7 392,0.2,7392,33.969886967922875,0.15174447370072616,3.764004419554064,0.0,0.0,3.568429431116888,0.3872911908323578,24.47176577861671,5.720095994634796,30.84704851606569,0.5968869543868454,103.47715372683093
Bangladesh,SEA,161200886,"East, South and South-East Asia",A,14639.534,13423.63,1215.904,80,79,90,1483,9886.666667,0.15,1393,9386.666667,0.1484019886,90,500,0.31,6800,15078.9330652452,1009.133523,4674.46925,96.36547235,5.811427933,40.3528013,0.1645177058,0.8420048874,63.99663366,22.17149326,10.71141323,42.69378892,74.03099208,1.277250834,358.4177962,,Cambodia,Mexico,,,,Weighted average,0.7672794239,TDF + 3TC + LPV/r,0.45,0.83,0.24,0.83,3,0.034231275,0.0212646,,,,Western & Central Africa,0.3,0.09,0.18,0.363716335887583,0.223496578223735,,Belgium,2829.539,Belize,374.1436,,Benin,4800,1845,0.39,,,Burundi,90,93,90,2015,,Belgium,High-income country,No data,,,81.33254213353797,5.8114279329,9.810960921581021,0.1645177057638126,0.8420048873704438,11.091856953432798,0.8286948931102511,56.3213299453109,13.612920334040393,66.74590769548644,1.2772508339402542,247.83941423647425
Barbados,AMR,284217,,B,1147.37048,1087.004,60.36648,82,82,97.14,1139,2648.837209,0.43,1131,2648.837209,0.4269798068,8,,,1400,42.27389772,597.7717296,0,17.2586914,0.06814839036,6.402401315,0.0,0.0,13.380694,4.859011923,1.435122309,7.033786498,16.13411664,0.2681005106,66.84007299,,Cameroon,Nicaragua,,,,,,AZT + 3TC + LPV/r,0.2,0.5,0.18,0.5,3,0.009165,0.0096075,,,,Latin America and the Caribbean,0.63,0.39,0.59,1,1,,Belize,4533.936,Benin,35926.87,,Bhutan,,,,,,Cambodia,79,84,78,2015,,Belize,46 [41-52],1 639,0.46,1639,15.545992563870758,0.06814839034800343,1.6961245989090643,0.0,0.0,1.6082895801843902,0.1739606899289885,11.259826290871157,2.583736872195939,14.13788260616589,0.2681005105482583,47.34206210302245
Belarus,EUR,9489616,Europe and Central Asia,A,25579.95697,25524.06,55.89697,87,97.14,97.14,7392,36960,0.2,7174,36460,0.1967635765,218,500,0.94,22000,639.5377724,4328.798683,601.1655061,131.7777158,1.052728362,49.84185608,0.01494154053,0.07716629599,100.3103669,36.60652843,11.51594422,54.4774398,121.2299825,2.093400962,508.9980709,,Cape Verde,Panama,,,,,,TDF + 3TC + ATV/r,0.09,0.65,0,0.65,3,0.005361525,0,,,,Latin America,0.64,0.44,0.64,0.363716335887583,0.223496578223735,,Benin,102444.2,Bermuda,10.71135,,Bolivia (Plurinational State of),500,173,0.48,,,Cameroon,60,,,2015,,Benin,49 [38-65],33 602,0.49,33602,114.92813945952904,1.052728362080622,13.261082048318293,0.014941540526451299,0.07716629599079203,12.740271417109398,1.3582414106055931,81.54870375774662,19.91691238001566,103.33419671182294,2.093400961411533,350.32578434515693
Belgium,EUR,11274196,Europe and Central Asia,A,2967.7482,2829.539,138.2092,97.14,97.14,97.14,,,0,,,0,,,,15005.63906,20.12951581,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Central African Republic,Paraguay,,,,,,TDF + FTC + LPV/r,0.08,0.652,0,0.7125,3,0.004780464,0,,,,The Caribbean,0.6,0.25,0.46,0.363716335887583,0.223496578223735,,Bermuda,412.5798,Bhutan,221.0629,,Bosnia and Herzegovina,,1,,,,Cape Verde,96,97,96,2015,,Bhutan,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
