Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,9224.366,Afghanistan,1528.182,,Afghanistan,500,26,0.11,,,Country,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Belize,AMR,359288,Latin America and the Caribbean,B,4908.0796,4533.936,374.1436,97.14,97.14,97.14,1639,3563.043478,0.46,1549,3363.043478,0.4605946994,90,200,0.8,2800,27.4591884,1289.665158,21.96735072,14.64897557,0.6940941926,6.037697249,0.01871563721,0.09646223021,10.04816758,3.492806463,1.482417749,6.43567381,11.68234496,0.1916908475,54.82904629,,Chad,Peru,,,,,,AZT + 3TC + ATV/r,0.03,0.757,0,0.757,3,0.0020813715,0,,,,"East, South and South-East Asia",0.39,0.39,0.16,0.251804674346229,0.453724914910915,,Bhutan,704.6815,Bolivia,23.27898,,Botswana,8500,8490,0.95,,,Chile,97,,97,2015,,Bolivia (Plurinational State of),29 [18-39],5 274,0.29,5274,12.772046998422871,0.6940941925645194,1.4281317855309672,0.01871563720877538,0.09646223020534545,1.5692261520758304,0.12438244244190973,9.11470986716695,2.0369705244028897,10.828642289936202,0.19169084745196996,38.87507296740824
Benin,AFR,10575952,Sub-Saharan Africa,A,138371.07,102444.2,35926.87,97.14,97.14,97.14,33602,68575.5102,0.49,31757,63775.5102,0.49794976,1845,4800,0.39,61000,9400,30374.93536,3666,400.556193,30.52022018,171.8544625,0.8747829865,4.482264043,255.9980365,85.84425354,46.00300049,180.47193,289.014673,4.68317499,1470.302991,,China,Saint Lucia,,,,,,ABC + 3TC + LPV/r,0.03,0.63,0.24,0.63,3,0.001732185,0.0161406,,,,Europe and Central Asia,0.23,0.65,0.79,0,1,,Bolivia,4419.861,Bosnia and Herzegovina,3.249679,,Brazil,7500,5657,0.76,,,China,87,89,87,2015,,Bosnia and Herzegovina,No data,126,,126,346.49370426341443,30.520220179863788,39.56637342817254,0.8747829864629778,4.482264042861519,47.14689283729024,3.0388046425016095,244.5086253706419,53.94951116199758,279.1106095585108,4.683174990197684,1054.3749634619148
Bermuda,AMR,65235,,B,423.29115,412.5798,10.71135,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.8773595101,0.003500595793,0.3263067351,0.0,0.0,0.6787872786,0.2470798543,0.07360586707,0.3582766236,0.819639995,0.0137695951,3.398326055,,Comoros,Saint Vincent and the Grenadines,,,,,,AZT + 3TC + TDF + LPV/r,0.02,0.7785,0,0.834,4,0.0014269905,0,,,,Middle East and North Africa,0.1,0.05,0.04,0,0,,Bosnia and Herzegovina,137.4223,Botswana,44678.92,,Brunei Darussalam,,,,,,Colombia,68,66,68,2015,,Botswana,78 [73-83],272 972,0.78,272972,0.7836518887658181,0.0035005957934931644,0.08683188070339316,0.0,0.0,0.08232015803475817,0.008934426937738438,0.5645395727091026,0.13195698985840457,0.7116110764599288,0.013769595101291242,2.3871161843639284
Bhutan,SEA,787386,"East, South and South-East Asia",A,925.7444,704.6815,221.0629,97.14,97.14,97.14,,,0.2518046743,,,0.2518046743,,,,1000,64.9285972947765,251.8046743,0,1.018766015,0.004138644036,0.3805487001,0.0,0.0,0.7853120816,0.2870068419,0.08678810967,0.4173974705,0.9506391159,0.01627519505,3.946872174,,Cote d'Ivoire,Suriname,,,,,,TDF + FTC + ATV/r,0.02,0.7941666667,0,0.7941666667,3,0.0014557075,0,,,,,,,,,,,Botswana,411632,Brazil,46066.48,,Bulgaria,,5,,,,Cote d'Ivoire,76,,,2015,,Brazil,55 [41-74],457 886,0.55,457886,0.8972318105303463,0.004138644035132819,0.10205114947389612,0.0,0.0,0.09671733542025576,0.010559848049949588,0.6403596981231512,0.154439429994417,0.8126604590207761,0.016275195042471918,2.7344335696903967
Bolivia,AMR,10724705,Latin America and the Caribbean,B,4443.13998,4419.861,23.27898,97.14,97.14,97.14,,,0.3637163359,,,1,,,,16000,819.6535792,16000,0,28.95903395,0.1031993158,10.45157603,0.0,0.0,22.91666465,8.109017686,2.203913468,11.54094645,27.2523059,0.4065270656,111.9431845,,Democratic Republic of the Congo,,,,,,,ABC + 3TC + ATV/r,0.01,0.7785,0,0.834,3,0.00071349525,0,,,,,,,,,,,Brazil,910360.7,Brunei,7.095108,,Burkina Faso,7700,2349,0.31,,,Croatia,93,100,93,2015,,Brunei Darussalam,High-income country,No data,,,28.744846314213255,0.10319931578108114,2.6498135822732265,0.0,0.0,2.516769771509607,0.2638243460249332,21.956441256776134,4.1289325663581815,26.532107767727123,0.4065270655942676,87.3024619862578
"Bonaire, Saint Eustatius and Saba",AMR,,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Djibouti,,,,,,,Others,0.07,0.7785,0.12,0.834,,0.00499446675,0.01068354,,,,,,,,,,,Brunei,154.304,Bulgaria,111.4011,,Burundi,9100,2654,0.29,,,Cuba,96,100,96,2015,,Bulgaria,No data,824,,824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,EUR,3535961,Europe and Central Asia,A,140.671979,137.4223,3.249679,97.14,97.14,97.14,126,,0,125,,0,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Egypt,,,,,,,AZT + ddl + LPV/r,0,0.7785,0.05,0.834,3,0,0.004451475,,,,,,,,,,,Bulgaria,2487.548,Burkina Faso,53458.29,,Cabo Verde,200,65,0.47,,,Democratic Republic of the Congo,86,,,2015,,Burkina Faso,55 [45-67],52 304,0.55,52304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,AFR,2209197,Sub-Saharan Africa,A,456310.92,411632,44678.92,97.14,97.14,97.14,272972,349964.1026,0.78,264482,341464.1026,0.7745528681,8490,8500,0.95,310000,11000,240111.3891,10450,2332.291709,99.9827681,947.0652812,2.655487925,13.71638206,1630.740964,562.1364243,223.1478707,1013.53278,1889.837275,29.30053281,8744.407475,,Eritrea,,,,,,,AZT + 3TC + IDV/r,0,0.7785,0.04,0.834,3,0,0.00356118,,,,,,,,,,,Burkina Faso,134589.2,Burundi,58894.3,,Cambodia,,,,,,Djibouti,86,67,86,2015,,Burundi,54 [43-65],42 169,0.54,42169,2125.5201473210686,99.98276810372285,219.15797481394614,2.655487925065407,13.716382059820777,238.97955203021823,19.013962825496634,1560.942793082099,317.6052464124906,1834.5231952113527,29.30053281195945,6461.39804259724
Brazil,AMR,205962108,Latin America and the Caribbean,B,956427.18,910360.7,46066.48,77,77,97.14,457886,832520,0.55,452229,825020,0.5481430753,5657,7500,0.76,557400,15740.99978,305534.9502,11963.15983,26289.59234,698.9335161,10268.91329,17.60241657,90.67223413,19232.99969,6809.368921,2405.368229,11107.3162,22729.25285,368.4834049,100018.5031,,Ethiopia,,,,,,,AZT + 3TC + EFV + LPV/r,0,0.7785,0.04,0.834,4,0,0.00356118,,,,,,,,,,,Burundi,156313.8,Cambodia,9475.154,,Cameroon,39000,7096,0.18,,,Dominica,100,,100,2015,,C̫te d'Ivoire,35 [30-40],161 173,0.35,161173,23624.68213663922,698.9335160699143,2546.0886691528794,17.602416567409946,90.67223413342222,2616.314904049439,239.10388516635226,17131.326566019197,3762.867401605917,20797.943485557527,368.48340486386934,71894.01861982515
British Virgin Islands,AMR,30113,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Fiji,,,,,,,ABC + ddl + LPV/r,0,0.652,0.03,0.652,3,0,0.00208803,,,,,,,,,,,Cambodia,117498.3,Cameroon,282119.7,,Canada,,,,,,Dominican Republic,95,99,95,2015,,Cabo Verde,42 [35-51],1 355,0.42,1355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,WPR,417542,,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gabon,,,,,,,d4T + 3TC + NVP,0,0.843,0.02,0.843,3,0,0.001799805,,,,,,,,,,,Cameroon,1534503,Canada,300.6256,,Central African Republic,9400,2403,0.25,,,Egypt,80,94,80,2015,,Cambodia,74 [67-82],54 929,0.74,54929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria,EUR,7177991,Europe and Central Asia,A,2598.9491,2487.548,111.4011,78,78,71,824,,0,819,,0,5,,,9553.704949,12.81594566,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gambia,,,,,,,AZT + 3TC + NVP,0,0.8193333333,0.02,0.8193333333,3,0,0.001749276667,,,,,,,,,,,Canada,16082.53,Cape Verde,286.2016,,Chad,18000,3838,0.22,,,El Salvador,83,63,83,2015,,Cameroon,27 [24-30],168 249,0.27,168249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,AFR,18110624,Sub-Saharan Africa,A,188047.49,134589.2,53458.29,97.14,97.14,97.14,52304,95098.18182,0.55,49955,87398.18182,0.5715793963,2349,7700,0.31,92000,24000,52585.30446,7440,577.0084996,36.2897442,239.9573743,1.034342709,5.293786539,385.2293551,131.0436506,62.55339676,254.0985612,440.4852262,7.064369443,2140.058307,,Georgia,,,,,,,AZT + ABC + 3TC + LPV/r,0,0.7785,0.01,0.834,4,0,0.000890295,,,,,,,,,,,Cape Verde,4797.9,Caribbean,56044.07,,Chile,,144,,,,Eritrea,79,95,77,2015,,Canada,High-income country,No data,,,509.32514474805805,36.2897441993799,56.61769359395224,1.0343427089264356,5.293786538589159,64.9892646764926,4.584004610777189,363.7109097303295,79.038137672505,421.64952074875634,7.0643694431452095,1549.5969186709112
Burundi,AFR,10199270,Sub-Saharan Africa,A,215208.1,156313.8,58894.3,90,90,93,42169,78090.74074,0.54,39515,68990.74074,0.5727580191,2654,9100,0.29,72000,19000,41238.57737,5510,2295.019424,131.4326954,943.3816815,3.727011885,19.06949261,1557.470086,533.3556854,242.9998262,1002.377931,1790.824206,28.74689879,8548.404939,,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,Caribbean,518067.1,Central African Republic,61045.54,,China,,,,,,Fiji,59,,59,2015,,Central African Republic,24 [21-27],28 303,0.24,28303,2034.9424377321452,131.4326954119677,224.97406133096146,3.7270118851680665,19.06949260857954,253.9788933492344,18.653605618222763,1457.1388860893617,316.9509977679421,1701.7666658605765,28.74689879580643,6191.381646449966
Cambodia,WPR,15517635,"East, South and South-East Asia",A,126973.454,117498.3,9475.154,79,78,84,54929,74228.37838,0.74,54929,74228.37838,0.74,,,,74000,1228.47859048995,54760,0,3983.284772,14.90124281,1457.168045,0.0,0.0,3121.9678,1118.957463,316.1996189,1605.410244,3736.778155,58.6645718,15413.33191,,Guinea,,,,,,Priority,Determination,,Key,,,,,,,,,,,,,,,,Central African Republic,379740.6,Central Asia,2821.522,,Colombia,1400,,,,,Finland,94,,,2015,,Chad,36 [29-46],59 622,0.36,59622,3763.577218650602,14.901242806985325,377.1884865797203,0.0,0.0,357.9800357319159,38.06875652665037,2803.4078144784403,581.5935531644793,3449.438531660777,58.664571802416255,11444.820211401986
Cameroon,AFR,22834522,Sub-Saharan Africa,A,1816622.7,1534503,282119.7,60,97.14,97.14,168249,623144.4444,0.27,161153,584144.4444,0.275878683,7096,39000,0.18,530000,60000,146215.702,10800,38770.31738,1603.05981,15553.8007,44.30764196,226.348916,27271.73787,9613.15808,3946.17001,16660.73268,32035.34814,543.1106059,146268.0918,,Guinea-Bissau,,,,,,#1,Original Data Point(s),is original,Blue,,,,,,,,,,,,,,,,Central Asia,88409.82,Central Europe,1444.027,,Comoros,,,,,,Gambia,83,,,2015,,Chile,87 [59->95],28 082,0.87,28082,33564.046454312214,1603.0598104567175,3904.0347183181684,44.30764195534274,226.34891602042384,4177.505087001124,352.38935192572706,23639.33654237238,5594.759272077294,28600.861697897944,543.1106059941906,102249.76009833154
Canada,AMR,35848610,,B,16383.1556,16082.53,300.6256,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,120585.585,190.9271762,43858.94712,0,34.19983393,0.1364546613,12.71957051,0.0,0.0,26.45940681,9.631274165,2.869186919,13.96576989,31.94990353,0.5367444705,132.4681449,,India,,,,,,#2,Average of all data points for that regimen,"is specific to that regimen, but not quadrant",Pink,,,,,,,,,,,,,,,,Central Europe,19248.96,"Central Europe, Eastern Europe, and Central Asia",48320,,Congo,,,,,,Georgia,84,75,84,2015,,China,No data,No data,,,30.54707237395756,0.1364546612963786,3.384742361038378,0.0,0.0,3.208873559002984,0.3482676303080921,22.005984331470724,5.143737643257106,27.73889193193438,0.5367444705348382,93.05076896280045
Cape Verde,AFR,532913,Sub-Saharan Africa,A,5084.1016,4797.9,286.2016,96,96,97,,,0.3637163359,,,0.3583525923,,,,1000,359.810532,358.3525923,0,14.04686789,0.05609492273,5.225414719,0.0,0.0,10.8657228,3.95592775,1.179336939,5.737089208,13.12201527,0.2206466974,54.40911619,,Indonesia,,,,,,#3,"Average of all original data points of that quadrant. An example of a quadrant is ""second-line adults"" or ""first-line children""",is average of listed drugs in second or first line regimen,Cyan,,,,,,,,,,,,,,,,"Central Europe, Eastern Europe, and Central Asia",1470441,Central Latin America,38369.06,,Cook Islands,,,,,,Greece,97,100,97,2015,,Colombia,No data,No data,,,12.537804982240003,0.05609492272082745,1.391031156136544,0.0,0.0,1.3187337036427058,0.14316679053711892,9.028090074265911,2.1135012974645666,11.383787028861871,0.22064669740393694,38.19285665327348
Cayman Islands,AMR,59963,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Iran,,,,,,,,,,,,,,,,,,,,,,,,,Central Latin America,573581,Central Sub-Saharan Africa,854564.9,,Costa Rica,200,65,0.53,,,Grenada,57,,57,2015,,Comoros,No data,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,AFR,4546100,Sub-Saharan Africa,A,440786.14,379740.6,61045.54,97.14,97.14,97.14,28303,117929.1667,0.24,25900,108529.1667,0.2386455254,2403,9400,0.25,190690.2514,3069.421575,45507.37524,767.3553937,620.3770087,33.74666072,255.7911015,0.952325034,4.869860915,420.4892667,146.2771506,66.91535921,271.7605361,488.3886384,8.31167615,2317.879584,,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,Central Sub-Saharan Africa,2642656,Chad,131695.4,,Cote d'Ivoire,29000,6945,0.24,,,Guatemala,89,86,89,2015,,Congo,No data,No data,,,530.5964779417283,33.74666071969676,62.733703208511166,0.9523250339653533,4.869860914689523,69.78518378903328,5.392851063460429,370.6754375267707,88.03971046532202,441.33609730544816,8.31167615004785,1616.4399841186735
Chad,AFR,14009413,Sub-Saharan Africa,A,513923.7,382228.3,131695.4,97.14,97.14,97.14,59622,165616.6667,0.36,55784,147616.6667,0.377897708,3838,18000,0.22,180000,34000,68021.58744,7480,1037.427118,63.29751736,430.8924667,1.807741483,9.240226442,693.9033753,238.3712877,113.7295092,456.4724464,798.4337679,13.25471593,3856.830172,,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,Chad,382228.3,Chile,684.7186,,Croatia,,3,,,,Guyana,78,87,78,2015,,Cook Islands,No data,No data,,,897.6243998139095,63.29751736318046,103.8436198666634,1.807741483123418,9.240226442167993,117.99803972378669,8.600381935264808,631.7864697207096,144.74719741935087,740.8431121733228,13.254715931483316,2733.043421872963
Chile,AMR,17762681,Latin America and the Caribbean,B,21904.0186,21219.3,684.7186,97,97,97.14,28082,32278.16092,0.87,27938,32278.16092,0.8655387793,144,,,36000,1357.542707,31159.39605,0,123.016006,0.4497354048,44.71988757,0.0,0.0,96.85799868,34.50956765,9.57268735,49.32381812,115.5749441,1.771069453,475.7957143,,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,Chile,21219.3,China,117566.9,,Cuba,100,29,0.95,,,Honduras,83,80,83,2015,,Costa Rica,56 [50-62],5 623,0.56,5623,118.87928201358115,0.4497354048210259,11.46238724450174,0.0,0.0,10.882624767568615,1.1493283828215424,89.61188337359758,17.763032802330326,109.32068905601905,1.7710694529061983,361.2900324981472
China,WPR,1371220000,"East, South and South-East Asia",A,1911023.9,1793457,117566.9,87,87,89,,,0.2518046743,,,0.2518046743,,,,703478.780205437,7238.282814,177139.2452,0,11785.55032,47.87772346,4402.36108,0.0,0.0,9084.848647,3320.226164,1004.004471,4828.644477,10997.42725,188.2788858,45659.21902,,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,China,1793457,Colombia,6073.543,,Cyprus,,,,,,Iran (Islamic Republic of),80,80,80,2015,,Croatia,High-income country,924,,924,10379.587162416467,47.87772345196312,1180.574282540187,0.0,0.0,1118.8702867298314,122.16114271688342,7407.973306295454,1786.6258263775076,9401.227162097179,188.278885730559,31633.175778356035
"China, Hong Kong SAR",WPR,7305700,,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,Colombia,111581.6,Comoros,135.2929,,Czech Republic,,,,,,Jamaica,60,100,60,2015,,Cuba,69 [59-75],15 083,0.69,15083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"China, Macao SAR",WPR,600942,,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,Comoros,877.152,Congo,68989.94,,Democratic People's Republic of Korea,,,,,,Jordan,73,,73,2015,,Cyprus,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,AMR,48228697,Latin America and the Caribbean,B,117655.143,111581.6,6073.543,68,68,66,,,1,,,1,,1400,,140000,3685.959112,140000,0,8179.975227,29.15041461,2952.226692,0.0,0.0,6473.204508,2290.530958,622.5331134,3259.938029,7697.880651,114.8305337,31620.27013,,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,Congo,203664.3,Costa Rica,460.2796,,Democratic Republic of the Congo,42000,9185,0.22,,,Kazakhstan,75,91,74,2015,,Czechia,High-income country,No data,,,8119.47425937456,29.150414613809673,748.4852393442833,0.0,0.0,710.9047358670334,74.52170601749141,6201.972961104792,1166.2877346699138,7494.448351268161,114.83053375030968,24660.07593601035
Comoros,AFR,777424,Sub-Saharan Africa,A,1012.4449,877.152,135.2929,97.14,97.14,97.14,,,0.3583525923,,,0.3583525923,,,,32609.74858,524.898704,11685.78794,0,1.836154434,0.007332520096,0.6830468173,0.0,0.0,1.420326955,0.5171041925,0.1541585474,0.7499310073,1.715261132,0.02884211733,7.112157722,,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,Costa Rica,6931.142,Cote d'Ivoire,266722.7,,Denmark,,,,,,Kenya,81,,,2015,,Democratic People's Republic of Korea,No data,No data,,,1.638895331662597,0.007332520094814346,0.18183042974577407,0.0,0.0,0.17237997509672745,0.018714231477739984,1.1801184256337318,0.2762690450827763,1.4880463880775499,0.028842117327101336,4.992428464198812
Congo,AFR,4995648,Sub-Saharan Africa,A,272654.24,203664.3,68989.94,97.14,97.14,97.14,,,0.3583525923,,,0.3583525923,,,,63000,14000,22576.21332,0,426.3333009,1.702524275,158.5953768,0.0,0.0,329.7830878,120.0654657,35.7937879,174.1250931,398.2633086,6.69679786,1651.358743,,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,Cote d'Ivoire,978347.4,Croatia,21.32453,,Djibouti,1000,74,0.08,,,Kiribati,89,100,86,2015,,Democratic Republic of the Congo,33 [26-40],122 268,0.33,122268,380.53207482435266,1.7025242744088793,42.21887106553054,0.0,0.0,40.02458748551268,4.345222782313533,274.00951382861354,64.14639843317015,345.5067377094762,6.69679785936983,1159.182728262748
Cook Islands,WPR,18800,Oceania,A,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,Croatia,276.0722,Cuba,712.7452,,Dominica,,,,,,Kyrgyzstan,76,89,74,2015,,Denmark,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,AMR,4807852,Latin America and the Caribbean,B,7391.4216,6931.142,460.2796,97.14,97.14,97.14,5623,10041.07143,0.56,5558,9841.071429,0.5647759027,65,200,0.53,8900,367.4481583,5026.505534,194.7475239,25.39057497,0.6071193776,9.804784269,0.0152383926,0.07823579623,18.77615151,6.66067702,2.296320777,10.63247871,22.23095202,0.3594649662,96.85199781,,Libya,,,,,,,,,,,,,,,,,,,,,,,,,Cuba,15270.3,Cyprus,0.86717,,Dominican Republic,2100,809,0.39,,,Lao People's Democratic Republic,84,92,83,2015,,Djibouti,21 [15-29],1 945,0.21,1945,22.97152636318688,0.607119377586143,2.462356769285764,0.015238392599341405,0.0782357962291455,2.5058041072733754,0.23325306441077362,16.69636031062227,3.656314015701174,20.31819012333328,0.359464966163613,69.90386328639177
Cote d'Ivoire,AFR,23108472,Sub-Saharan Africa,A,1245070.1,978347.4,266722.7,76,97.14,97.14,,,0.3637163359,,,0.3583525923,6945,29000,0.24,390000,68000,139757.511,16320,20739.84012,1181.281993,8560.507577,33.51904289,171.3804424,14012.35091,4839.957017,2238.183444,9088.264148,16193.84639,269.9545085,77329.08559,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,Cyprus,159.06,Czech Republic,56.03869,,Ecuador,500,670,0.95,,,Lebanon,92,,92,2015,,Dominica,No data,No data,,,17943.355360053465,1181.2819929866369,2076.6503218364555,33.51904289010399,171.3804423694786,2331.90076430942,175.16020419975607,12633.992772102967,2911.623393950565,14909.590684682027,269.95450850213024,54638.40948788301
Croatia,EUR,4203604,Europe and Central Asia,A,297.39673,276.0722,21.32453,93,93,97.14,924,,0,921,,0,3,,,5594.879172,7.505325718,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,Czech Republic,648.4643,Democratic Republic of the Congo,547783.6,,Egypt,500,73,0.27,,,Lithuania,63,100,63,2015,,Dominican Republic,46 [36-63],31 321,0.46,31321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,AMR,11461432,Latin America and the Caribbean,B,15983.0452,15270.3,712.7452,96,96,97.14,15083,21859.42029,0.69,15054,21759.42029,0.6918382843,29,100,0.95,4300,1704.751666,2974.904622,1619.514082,98.76440227,2.409552465,38.32884227,0.05924748556,0.3060308203,72.84099246,25.68430701,8.761280268,41.54015781,85.93616343,1.357461268,375.9884376,,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Republic of the Congo,1478999,Denmark,26.83577,,El Salvador,500,273,0.78,,,Madagascar,80,,,2015,,Ecuador,54 [43-64],15 642,0.54,15642,90.62536577539102,2.409552464926348,9.38490811605966,0.0592474855587418,0.306030820301094,9.596679871247913,0.8808748041810446,66.62029235249359,13.982989611036592,80.39383264958781,1.3574612680969766,275.6172352188808
Curacao,AMR,157979,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,Denmark,1569.254,Djibouti,3597.963,,Equatorial Guinea,2400,245,0.1,,,Malawi,76,,,2015,,Egypt,19 [12-31],2 147,0.19,2147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,EUR,1160985,Europe and Central Asia,A,159.92717,159.06,0.86717,97.14,97.14,97.14,,,0,,,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Mali,,,,,,,,,,,,,,,,,,,,,,,,,Djibouti,17097.56,Dominica,11.57927,,Eritrea,1400,470,0.35,,,Malaysia,95,89,95,2015,,El Salvador,54 [50-60],10 803,0.54,10803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EUR,10546059,Europe and Central Asia,A,704.50299,648.4643,56.03869,97.14,97.14,97.14,,,0.3637163359,,,0,,,,14036.50911,18.82946344,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,Dominica,289.4071,Dominican Republic,6675.191,,Estonia,,,,,,Maldives,100,,100,2015,,Equatorial Guinea,31 [29-34],8 509,0.31,8509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic People's Republic of Korea,SEA,25243917,"East, South and South-East Asia",A,0,0,0,97.14,97.14,97.14,,,0.2518046743,,,0.2518046743,,,,12634.6777717123,133.2555028,3181.470922,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,Dominican Republic,89754.48,East Asia,119732,,Ethiopia,,22009,,,,Marshall Islands,88,,88,2015,,Eritrea,60 [47-76],8 431,0.6,8431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
